Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
hTERT p53-/- 95.22-CX5461-703 nM-5+7d,hTERT p53-/- 95.22,39,CX5461,,,Fresh,MEBM defined media,703 nM,5+7,,"AT18976, AT18984",https://alhena.molonc.ca/alhena/dashboards/SC-8331,Done,SC-8041 SC-8040,"AT18976 A138891B
","hTERT p53 KO 703nM CX5461 (95.22) (5 day drug + 7 day no drug) , hTERT p53 KO (95.22) 703nM CX5461 (14 day drug + 7 day holiday + 5 day drug)","hTERT p53 KO 703nM CX5461 (95.22) (5 day drug + 7 day no drug) , hTERT p53 KO (95.22) 703nM CX5461 (14 day drug + 7 day holiday + 5 day drug)","A138875B, A138891B, A130832B, A130856B",,Nanopore/DLP CX5461 (4) hTERT WT/p53 KO,"WT=AT18975, 95.22=AT18976",Nanopore/DLP CX5461 (4) hTERT WT/p53 KO,9/9/2022,9/14/2022,,"WT=AT18979, 95.22=18980",,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-5+7d,184-hTERT-L9 (WT) ,48,CX5461,,,Fresh,MEBM defined media,990 nM,5+7,,"AT18975, AT18983",https://alhena.molonc.ca/alhena/dashboards/SC-8326,Done,SC-8039,"AT18975 A138891A
"," hTERT WT 990nM CX5461 (5 day drug + 7 day no drug), hTERT WT 990nM CX5461 (14 day drug + 7 day holiday + 5 day drug)"," hTERT WT 990nM CX5461 (5 day drug + 7 day no drug), hTERT WT 990nM CX5461 (14 day drug + 7 day holiday + 5 day drug)","A138875A, A138891A, A130832A, A130856A",,Nanopore/DLP CX5461 (4) hTERT WT/p53 KO,"WT=AT18975, 95.22=AT18976",Nanopore/DLP CX5461 (4) hTERT WT/p53 KO,9/9/2022,9/14/2022,,"WT=AT18979, 95.22=18980",,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-5+10+5d,hTERT p53-/- 95.22,40,CX5461,,,Fresh,MEBM defined media,703 nM,5+10+5,,AT18984,https://alhena.molonc.ca/alhena/dashboards/SC-8260,Done,SC-8067 SC-8068,AT18984 A130832B ,hTERT p53 KO (95.22) 703nM CX5461 (14 day drug + 7 day holiday + 5 day drug),hTERT p53 KO (95.22) 703nM CX5461 (14 day drug + 7 day holiday + 5 day drug),"A130832B, A130856B",,Nanopore/DLP CX5461 (4) hTERT WT/p53 KO P+2,"WT=AT18983, 95.22=AT18984",Nanopore/DLP CX5461 (4) hTERT WT/p53 KO P+2,9/9/2022,10/5/2022,,"WT=AT18987, 95.22=AT18988",,,,,,,
184-hTERT-L9 (WT) -CX5461-990 nM-5+10+5d,184-hTERT-L9 (WT) ,50,CX5461,,,Fresh,MEBM defined media,990 nM,5+10+5,,AT18983,https://alhena.molonc.ca/alhena/dashboards/SC-8259,Done,SC-8067 SC-8068,AT18983 A130832A,hTERT WT 990nM CX5461 (14 day drug + 7 day holiday + 5 day drug),hTERT WT 990nM CX5461 (14 day drug + 7 day holiday + 5 day drug),"A130832A, A130856A",,Nanopore/DLP CX5461 (4) hTERT WT/p53 KO P+2,"WT=AT18983, 95.22=AT18984",Nanopore/DLP CX5461 (4) hTERT WT/p53 KO P+2,9/9/2022,10/5/2022,,"WT=AT18987, 95.22=AT18988",,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-7+/7-d,hTERT p53-/- 95.22,41,CX5461,2024_10_12,,TRUE,Fresh,MEBM defined media,703 nM,7+7-,AT25532,https://alhena.molonc.ca/alhena/dashboards/SC-9027,Done,SC-9027,AT25532 A143946B,,,A143946B,,,,,,,,,,,,,,,
hTERT p53-/- 95.22-CX5461-703 nM-7+/7+d,hTERT p53-/- 95.22,41,CX5461,2024_10_12,,FALSE,Fresh,MEBM defined media,703 nM,7+7+,AT25533,https://alhena.molonc.ca/alhena/dashboards/SC-9029,Done,SC-9029,AT25533 A143949B,,,,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) IC30 CX-5461 (7 day drug),hTERT p53-/- 95.22,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,703 nM,7,AT25982,https://alhena.molonc.ca/alhena/dashboards/SC-9122,,,,,,A143951A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) IC30 CX-5461 (5 day drug),hTERT p53-/- 95.22,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,703 nM,5,AT25981,https://alhena.molonc.ca/alhena/dashboards/SC-9148,,,,,,A143910B,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) (14 day untreated),hTERT p53-/- 95.22,,Untreated,2024_10_12,,FALSE,Fresh,MEBM defined media,Untreated,,AT25534,https://alhena.molonc.ca/alhena/dashboards/SC-9139,,,,,,A143931A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) CX-5461 (+3/-4),hTERT p53-/- 95.22,,CX5461,2024_10_12,,FALSE,Fresh,MEBM defined media,703 nM,"""+3/-4""",AT25530,https://alhena.molonc.ca/alhena/dashboards/SC-9134,,,,,,A143934A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) CX-5461 (+3/+4),hTERT p53-/- 95.22,,CX5461,2024_10_12,,FALSE,Fresh,MEBM defined media,703 nM,7,AT25531,https://alhena.molonc.ca/alhena/dashboards/SC-9120,,,,,,A143934B,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) 703nM CX-5461 (3 day drug),hTERT p53-/- 95.22,,CX5461,2024_10_12,,FALSE,Fresh,MEBM defined media,703 nM,3,AT25528,https://alhena.molonc.ca/alhena/dashboards/SC-9129,,,,,,A143922A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Untreated (3 day untreated),hTERT p53-/- 95.22,,Untreated,2024_10_12,,FALSE,Fresh,MEBM defined media,Untreated,,AT25529,https://alhena.molonc.ca/alhena/dashboards/SC-9127,,,,,,A143922B,,,,,,,,,,,,,,,
hTERT p50 KO (95.22) IC30 CX-5461 (5 day drug/5 day holiday),hTERT p53-/- 95.22,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,703 nM,5+/5-,AT25984,https://alhena.molonc.ca/alhena/dashboards/SC-9156,,,,,,A143914A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) IC30 CX-5461 (5 day drug/7 day holiday),hTERT p53-/- 95.22,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,703 nM,5+/7-,AT25986,https://alhena.molonc.ca/alhena/dashboards/SC-9161,,,,,,A143947A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) IC30 CX-5461 (5 day drug/14 day holiday),hTERT p53-/- 95.22,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,703 nM,5+/14-,AT25989,https://alhena.molonc.ca/alhena/dashboards/SC-9162,,,,,,A143907B,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) untreated,hTERT p53-/- BRCA1-/- 83.86,,Untreated,2024_11_03,,FALSE,Fresh,MEBM defined media,Untreated,,AT25979,,,,,,,A143932B,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) IC30 CX-5461 (5 day drug),hTERT p53-/- BRCA1-/- 83.86,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,2.2 nM,5,AT25980,https://alhena.molonc.ca/alhena/dashboards/SC-9124,,,,,,A143910A,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) IC30 CX-5461 (7 day drug),hTERT p53-/- BRCA1-/- 83.86,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,2.2 nM,7,AT25983,https://alhena.molonc.ca/alhena/dashboards/SC-9151,,,,,,A143951B,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) IC30 CX-5461 (5 day drug/5 day holiday),hTERT p53-/- BRCA1-/- 83.86,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,2.2 nM,5+/5-,AT25985,https://alhena.molonc.ca/alhena/dashboards/SC-9153,,,,,,A143914B,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) IC30 CX-5461 (5 day drug/7 day holiday),hTERT p53-/- BRCA1-/- 83.86,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,2.2 nM,5+/7-,AT25987,https://alhena.molonc.ca/alhena/dashboards/SC-9160,,,,,,A143947B,,,,,,,,,,,,,,,
hTERT p53 KO BRCA1 KO (83.86) IC30 CX-5461 (5 day drug/14 day holiday),hTERT p53-/- BRCA1-/- 83.86,,CX5461,2024_11_03,,FALSE,Fresh,MEBM defined media,2.2 nM,5+/14-,AT25988,https://alhena.molonc.ca/alhena/dashboards/SC-9118,,,,,,A143907A,,,,,,,,,,,,,,,
RPE-1 cas9 p53 WT-BLM-/-,RPE-1 cas9 p53 WT-BLM-/-,,Untreated,,,FALSE,Fresh,MEBM defined media,Untreated,,,https://alhena.molonc.ca/alhena/dashboards/SC-4530,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d Untreated,hTERT p53-/- 95.22,43,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,Untreated,,AT28551,https://alhena.molonc.ca/alhena/dashboards/SC-9265,,,,,,A143821A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d cisplatin,hTERT p53-/- 95.22,43,cisplatin,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,cisplatin,,AT28552,https://alhena.molonc.ca/alhena/dashboards/SC-9266,,,,,,A143821B,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d+5 cisplatin,hTERT p53-/- 95.22,44,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28553,https://alhena.molonc.ca/alhena/dashboards/SC-9221,,,,,,A146324A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+7 cisplatin,hTERT p53-/- 95.22,44,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28554,https://alhena.molonc.ca/alhena/dashboards/SC-9172,,,,,,A146324B,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+9 cisplatin,hTERT p53-/- 95.22,44,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28555,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+9+5d cisplatin,hTERT p53-/- 95.22,45,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28557,https://alhena.molonc.ca/alhena/dashboards/SC-9267,,,,,,A146249A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+9d untreated (14d),hTERT p53-/- 95.22,45,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28556,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+9d+5d untreated (19d),hTERT p53-/- 95.22,45,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28558,https://alhena.molonc.ca/alhena/dashboards/SC-9272,,,,,,A146249B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d Untreated,hTERT p53-/- BRCA1-/- 83.86,27,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28561,https://alhena.molonc.ca/alhena/dashboards/SC-9243,,,,,,A143897A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d cisplatin,hTERT p53-/- BRCA1-/- 83.86,27,cisplatin,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28562,https://alhena.molonc.ca/alhena/dashboards/SC-9243,,,,,,A143897B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d+5 cisplatin,hTERT p53-/- BRCA1-/- 83.86,28,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28563,https://alhena.molonc.ca/alhena/dashboards/SC-9244,,,,,,A146246A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+7 cisplatin,hTERT p53-/- BRCA1-/- 83.86,28,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28564,https://alhena.molonc.ca/alhena/dashboards/SC-9245,,,,,,A146246B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+9 cisplatin,hTERT p53-/- BRCA1-/- 83.86,28,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28565,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+9+5d cisplatin,hTERT p53-/- BRCA1-/- 83.86,29,cisplatin,2024_05_31,TRUE,FALSE,Fresh,MEBM defined media,,,AT28567,https://alhena.molonc.ca/alhena/dashboards/SC-9299,,,,,,A146252A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+9 Untreated,hTERT p53-/- BRCA1-/- 83.86,28,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28566,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+9+5d Untreated,hTERT p53-/- BRCA1-/- 83.86,29,Untreated,2024_05_31,FALSE,FALSE,Fresh,MEBM defined media,,,AT28568,https://alhena.molonc.ca/alhena/dashboards/SC-9309,,,,,,A146252B,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d Untreated,hTERT p53-/- 95.22,,Untreated,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28920,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d Palbociclib,hTERT p53-/- 95.22,,Palbocicilib,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28921,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 7d+5 Palbociclib,hTERT p53-/- 95.22,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28922,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+7 Palbociclib,hTERT p53-/- 95.22,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28923,,,,,,,,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5d+7+5 Palbociclib,hTERT p53-/- 95.22,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28924,https://alhena.molonc.ca/alhena/dashboards/SC-9297,,,,,,A146338A,,,,,,,,,,,,,,,
hTERT p53-/- 95.22 5+7+5d Untreated,hTERT p53-/- 95.22,,Untreated,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28925,https://alhena.molonc.ca/alhena/dashboards/SC-9301,,,,,,A146338B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d Untreated,hTERT p53-/- BRCA1-/- 83.86,,Untreated,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28926,https://alhena.molonc.ca/alhena/dashboards/SC-9300,,,,,,A146355A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d Palbociclib,hTERT p53-/- BRCA1-/- 83.86,,Palbocicilib,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28927,https://alhena.molonc.ca/alhena/dashboards/SC-9303,,,,,,A146355B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 7d+5 Palbociclib,hTERT p53-/- BRCA1-/- 83.86,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28928,https://alhena.molonc.ca/alhena/dashboards/SC-9298,,,,,,A146255B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+7 Palbociclib,hTERT p53-/- BRCA1-/- 83.86,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28929,https://alhena.molonc.ca/alhena/dashboards/SC-9302,,,,,,A146255A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+7+5 Palbociclib,hTERT p53-/- BRCA1-/- 83.86,,Palbocicilib,2024_06_01_Palbo,TRUE,,,MEBM defined media,,,AT28930,https://alhena.molonc.ca/alhena/dashboards/SC-9464,,,,,,A146348A,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86 5d+7+5 Untreated,hTERT p53-/- BRCA1-/- 83.86,,Untreated,2024_06_01_Palbo,FALSE,,,MEBM defined media,,,AT28931,https://alhena.molonc.ca/alhena/dashboards/SC-9465,,,,,,A146348B,,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/- 83.86-CX5461-2.2 nM-5+7d,hTERT p53-/- BRCA1-/- 83.86,19,CX5461,,TRUE,Fresh,MEBM defined media,2.2 nM,5+7,,AT18977 ,https://alhena.molonc.ca/alhena/dashboards/SC-9104,Done,SC-8044 SC-8045,AT18977 A138884A,hTERT p53 KO BRCA1 KO 2.2nM CX5461 (83.86) (5 day drug + 7 day no drug) ,hTERT p53 KO BRCA1 KO 2.2nM CX5461 (83.86) (5 day drug + 7 day no drug) ,"A138884A, A138889A",,Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,"83.86=AT18977, 112.109=AT18978 ",Nanopore/DLP CX5461 (4) hTERT p53 KO BRCA1/2 KO,9/9/2022,9/14/2022,,"83.86=AT18981, 112.109=AT18982 ",,,,,,,
RPE1 CAS9 P53 / PARP1 / RAP80 KO #4 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30703,https://alhena.molonc.ca/alhena/dashboards/SC-9458,,,,,,A143823A,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / PARP1 / RAP80 KO #16 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30788,https://alhena.molonc.ca/alhena/dashboards/SC-9459,,,,,,A143823B,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / BRCA1 KO p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT31071,https://alhena.molonc.ca/alhena/dashboards/SC-9454,,,,,,A143885A,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / BRCA1 / SHLD1 KO p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT31349,https://alhena.molonc.ca/alhena/dashboards/SC-9463,,,,,,A143885B,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / ERCC6L2 KO #49 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30603,https://alhena.molonc.ca/alhena/dashboards/SC-9451,,,,,,A143889A,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / DNAPKCS KO #3 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30624,https://alhena.molonc.ca/alhena/dashboards/SC-9460,,,,,,A143889B,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / ERCC6L2 KO #47 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30585,https://alhena.molonc.ca/alhena/dashboards/SC-9447,,,,,,A146300A,,,,,,,,,,,,,,,
RPE1 CAS9 P53 / ABRX KO #15 p3,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT30388,https://alhena.molonc.ca/alhena/dashboards/SC-9450,,,,,,A146300B,,,,,,,,,,,,,,,
RPE1 Cas9 p53 KO #7 p4,RPE1 CAS9 P53,,Untreated,PROJ-JACKSON,FALSE,,,,,,AT29963,https://alhena.molonc.ca/alhena/dashboards/SC-9457,,,,,,A146347A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) CX5461 Selleckchem 27nM (7 day drug + 7 day holiday),hTERT p53-/- 95.22,,CX5461,PROJ_MAGIC,TRUE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9453,,,,,,A118887A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) CX5461 Senhwa 38nM (7 day drug + 7 day holiday),hTERT p53-/- 95.22,,CX5461,PROJ_MAGIC,TRUE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9462,,,,,,A118887B,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Palbociclib 29nM (7 day drug + 7 day holiday),hTERT p53-/- 95.22,,Palbocicilib,PROJ_MAGIC,TRUE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9449,,,,,,A118888A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Olaparib 1.5uM (7 day drug + 7 day holiday),hTERT p53-/- 95.22,,Olaparib,PROJ_MAGIC,TRUE,,,,,,,,,,,,,A118888B,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) untreated (14 day),hTERT p53-/- 95.22,,Untreated,PROJ_MAGIC,FALSE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9452,,,,,,A118890A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Cisplatin 93nM (7 day + 7 day holiday),hTERT p53-/- 95.22,,cisplatin,PROJ_MAGIC,TRUE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9455,,,,,,A118890B,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Palbociclib 29nM (7 day),hTERT p53-/- 95.22,,Palbocicilib,PROJ_MAGIC,FALSE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9456,,,,,,A118891A,,,,,,,,,,,,,,,
hTERT p53 KO (95.22) Olaparib 1.5uM (7 day),hTERT p53-/- 95.22,,Olaparib,PROJ_MAGIC,FALSE,,,,,,,https://alhena.molonc.ca/alhena/dashboards/SC-9461,,,,,,A118891B,,,,,,,,,,,,,,,
OS152,OS152,,Untreated,Osteosarcoma,,,,,,,AT24001,https://alhena.molonc.ca/alhena/dashboards/SC-9020,,,,,,A138928B,,,,,,,,,,,,,,,
OS152,OS153,,Untreated,Osteosarcoma,,,,,,,AT26409,https://alhena.molonc.ca/alhena/dashboards/SC-8956,,,,,,A143952B,,,,,,,,,,,,,,,
OS526,OS526,,Untreated,Osteosarcoma,,,,,,,AT24000,https://alhena.molonc.ca/alhena/dashboards/SC-9081,,,,,,A138945B,,,,,,,,,,,,,,,
OS742,OS742,,Untreated,Osteosarcoma,,,,,,,AT21552,https://alhena.molonc.ca/alhena/dashboards/SC-8985,,,,,,A138971A,,,,,,,,,,,,,,,
OS774,OS774,,Untreated,Osteosarcoma,,,,,,,AT23073,https://alhena.molonc.ca/alhena/dashboards/SC-9060,,,,,,A138920A,,,,,,,,,,,,,,,
